Tamano;Distribucion;OE_Iter1;OE_IterInterp;Tiempo_iter1(s);Tiempo_iter_interp
0;vacio;4;3;0.00000030;0.00000020
1000;uniforme;7400;1600;0.00000004;0.00000001
1000;uniforme;6400;1600;0.00000004;0.00000001
1000;uniforme;7200;3100;0.00000004;0.00000002
1000;uniforme;7200;3300;0.00000004;0.00000002
1000;uniforme;7000;3300;0.00000004;0.00000001
1000;uniforme;6400;1800;0.00000004;0.00000001
5000;uniforme;9800;1600;0.00000005;0.00000001
5000;uniforme;8200;5200;0.00000005;0.00000002
5000;uniforme;9600;3700;0.00000005;0.00000002
5000;uniforme;9600;6700;0.00000005;0.00000003
5000;uniforme;9400;8600;0.00000005;0.00000004
5000;uniforme;8200;5400;0.00000005;0.00000003
10000;uniforme;10600;1600;0.00000005;0.00000001
10000;uniforme;8800;5200;0.00000005;0.00000003
10000;uniforme;10400;8400;0.00000005;0.00000004
10000;uniforme;10400;7300;0.00000005;0.00000003
10000;uniforme;10200;9900;0.00000005;0.00000006
10000;uniforme;8800;7500;0.00000005;0.00000003
50000;uniforme;12200;1600;0.00000006;0.00000001
50000;uniforme;10000;7900;0.00000007;0.00000004
50000;uniforme;12000;3700;0.00000006;0.00000002
50000;uniforme;12000;15200;0.00000006;0.00000007
50000;uniforme;11800;10700;0.00000006;0.00000005
50000;uniforme;10000;32900;0.00000007;0.00000014
100000;uniforme;13000;1600;0.00000006;0.00000001
100000;uniforme;10600;10900;0.00000008;0.00000005
100000;uniforme;12800;3700;0.00000006;0.00000002
100000;uniforme;12800;6000;0.00000006;0.00000002
100000;uniforme;12600;18600;0.00000006;0.00000009
100000;uniforme;10600;38000;0.00000007;0.00000016
500000;uniforme;14600;1600;0.00000007;0.00000001
500000;uniforme;11800;13000;0.00000007;0.00000006
500000;uniforme;14400;16400;0.00000006;0.00000007
500000;uniforme;14400;17900;0.00000007;0.00000010
500000;uniforme;13400;17900;0.00000008;0.00000008
500000;uniforme;11800;42200;0.00000007;0.00000017
1000000;uniforme;15400;1600;0.00000007;0.00000001
1000000;uniforme;12400;16600;0.00000007;0.00000007
1000000;uniforme;1000;18300;0.00000001;0.00000007
1000000;uniforme;15200;20400;0.00000007;0.00000008
1000000;uniforme;15000;18300;0.00000008;0.00000007
1000000;uniforme;12400;45800;0.00000007;0.00000019
5000000;uniforme;16200;1600;0.00000008;0.00000001
5000000;uniforme;12400;18700;0.00000007;0.00000009
5000000;uniforme;1000;2200;0.00000001;0.00000001
5000000;uniforme;1800;22100;0.00000001;0.00000010
5000000;uniforme;15800;23600;0.00000010;0.00000011
5000000;uniforme;14200;50100;0.00000008;0.00000020
10000000;uniforme;16200;1600;0.00000008;0.00000001
10000000;uniforme;13000;20200;0.00000008;0.00000009
10000000;uniforme;1000;2200;0.00000001;0.00000001
10000000;uniforme;1800;22100;0.00000001;0.00000010
10000000;uniforme;1600;21900;0.00000001;0.00000010
10000000;uniforme;14800;50700;0.00000008;0.00000021
1000;gaussiana;7400;1600;0.00000004;0.00000001
1000;gaussiana;6400;1600;0.00000004;0.00000001
1000;gaussiana;7200;6700;0.00000003;0.00000003
1000;gaussiana;7200;16900;0.00000003;0.00000008
1000;gaussiana;7000;16600;0.00000003;0.00000011
1000;gaussiana;6400;1800;0.00000004;0.00000001
5000;gaussiana;9800;1600;0.00000004;0.00000001
5000;gaussiana;8200;3700;0.00000005;0.00000002
5000;gaussiana;9600;15200;0.00000004;0.00000007
5000;gaussiana;9600;27100;0.00000005;0.00000012
5000;gaussiana;9400;32200;0.00000004;0.00000020
5000;gaussiana;8200;3900;0.00000005;0.00000002
10000;gaussiana;10600;1600;0.00000005;0.00000001
10000;gaussiana;8800;3700;0.00000005;0.00000002
10000;gaussiana;10400;3700;0.00000005;0.00000002
10000;gaussiana;10400;32800;0.00000004;0.00000014
10000;gaussiana;1600;38200;0.00000001;0.00000021
10000;gaussiana;8800;6000;0.00000005;0.00000002
50000;gaussiana;12200;1600;0.00000006;0.00000001
50000;gaussiana;10000;9400;0.00000006;0.00000004
50000;gaussiana;12000;3700;0.00000005;0.00000002
50000;gaussiana;12000;6000;0.00000005;0.00000002
50000;gaussiana;11000;53200;0.00000005;0.00000029
50000;gaussiana;10000;13800;0.00000006;0.00000005
100000;gaussiana;13000;1600;0.00000006;0.00000001
100000;gaussiana;10600;17500;0.00000006;0.00000007
100000;gaussiana;12800;13500;0.00000006;0.00000006
100000;gaussiana;12800;22800;0.00000006;0.00000009
100000;gaussiana;12600;5800;0.00000006;0.00000002
100000;gaussiana;10600;19800;0.00000006;0.00000009
500000;gaussiana;14600;1600;0.00000009;0.00000001
500000;gaussiana;11800;17200;0.00000007;0.00000007
500000;gaussiana;13600;19000;0.00000006;0.00000009
500000;gaussiana;14400;25800;0.00000007;0.00000013
500000;gaussiana;1600;18600;0.00000001;0.00000009
500000;gaussiana;11800;21600;0.00000007;0.00000008
1000000;gaussiana;15400;1600;0.00000007;0.00000001
1000000;gaussiana;12400;23800;0.00000007;0.00000011
1000000;gaussiana;1000;2200;0.00000001;0.00000001
1000000;gaussiana;15200;23000;0.00000007;0.00000011
1000000;gaussiana;14200;14900;0.00000006;0.00000006
1000000;gaussiana;12400;26700;0.00000007;0.00000011
